Country,TradeType,12/1/2022,11/1/2022,10/1/2022,9/1/2022,8/1/2022,7/1/2022,6/1/2022,5/1/2022,4/1/2022,3/1/2022,2/1/2022,1/1/2022,12/1/2021,11/1/2021,10/1/2021,9/1/2021,8/1/2021,7/1/2021,6/1/2021,5/1/2021,4/1/2021,3/1/2021,2/1/2021,1/1/2021,12/1/2020,11/1/2020,10/1/2020,9/1/2020,8/1/2020,7/1/2020,6/1/2020,5/1/2020,4/1/2020,3/1/2020,2/1/2020,1/1/2020
Bahrain,TradeBalance,-20786,9514,54921,38259,41400,-154938,-138302,-283923,-55776,30666,18361,24959,43788,-100574,2241,1634,76140,13255,12372,3470,-41035,-34004,6433,-92585,5412,-4457,5553,-22451,-45393,-65723,-35287,-5090,-17183,17147,26816,9122
Bangladesh,Exports,294037,339772,465380,547112,534857,555989,857101,577713,623837,774546,674445,406728,386488,446226,598866,538925,357449,347409,429289,356064,295743,428361,305629,375673,355909,321464,294936,312865,244705,237348,206126,120441,117469,346749,350375,355011
Bangladesh,Imports,27270,25709,18536,18308,36996,18815,20745,23744,18850,19840,16678,21085,22103,19117,23805,20565,16958,12067,12640,17516,19130,20374,15507,34207,25556,14127,10000,19293,15842,23266,12128,3725,3979,27294,19551,51163
Bangladesh,TradeBalance,266767,314063,446844,528804,497861,537174,836356,553969,604987,754706,657767,385643,364385,427109,575061,518360,340491,335342,416649,338548,276613,407987,290122,341466,330353,307337,284936,293572,228863,214082,193998,116716,113490,319455,330824,303848
Belgium,Exports,432376,756814,350565,386724,570824,991586,588520,617646,668060,1446036,1007201,702940,457888,463968,823155,450170,334717,760892,585846,773462,590664,1094463,447254,470384,228581,411750,714179,443025,339644,254329,386915,925654,1176482,550919,624401,618487
Belgium,Imports,103655,121773,88796,215978,132917,224676,114704,116817,146603,319393,247242,170868,129536,131031,250735,155819,98508,183841,117345,151574,174581,128928,191622,119744,133445,209539,83657,80823,99286,102317,73457,77945,126970,136150,176921,124193
Belgium,TradeBalance,328721,635041,261769,170746,437907,766910,473816,500829,521457,1126643,759959,532072,328352,332937,572420,294351,236209,577051,468501,621888,416083,965535,255632,350640,95136,202211,630522,362202,240358,152012,313458,847709,1049512,414769,447480,494294
Bermuda,Imports,0,4,0,3,2,1,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,5,5,1,0,2,0,0,0,0,0,81
Bermuda,TradeBalance,0,-4,0,-3,-2,-1,0,-6,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,-2,-2,0,-5,-5,-1,0,-2,0,0,0,0,0,-81
Brazil,Exports,227374,170736,202358,274320,258914,215066,262228,223271,226969,247555,224065,241165,213101,208240,189878,237400,222820,172383,148807,166752,182993,153024,135666,133207,123050,120289,164933,153143,151182,155958,155885,148795,118918,155337,148178,140481
Brazil,Imports,1004171,1132945,917460,833293,968690,928891,1070887,954871,836482,516453,458528,794992,340507,660963,671501,491662,464768,550466,481364,459091,572109,328849,173894,283000,304498,302065,153734,510784,204266,190282,418057,288817,237606,310852,331188,404695
Brazil,TradeBalance,-776797,-962209,-715102,-558973,-709776,-713825,-808659,-731600,-609513,-268898,-234463,-553827,-127406,-452723,-481623,-254262,-241948,-378083,-332557,-292339,-389116,-175825,-38228,-149793,-181448,-181776,11199,-357641,-53084,-34324,-262172,-140022,-118688,-155515,-183010,-264214
Brunei Darussalam,Exports,75900,65457,67063,81269,101311,107918,142268,75842,140971,91187,95335,77716,86822,68707,69829,99576,74375,68665,100088,80670,118678,89926,69131,75420,83374,94592,81584,78402,93730,87799,114980,64689,105793,92062,98823,92138
Brunei Darussalam,Imports,143124,121051,214994,208537,311958,248815,247045,307654,446823,178316,161909,118376,238510,272043,180268,175584,209182,137283,105693,44843,110472,102303,56593,71088,99093,26766,54504,67999,36769,25927,36456,49763,96185,70923,242796,278270
Brunei Darussalam,TradeBalance,-67224,-55594,-147931,-127268,-210647,-140897,-104777,-231812,-305852,-87129,-66574,-40660,-151688,-203336,-110439,-76008,-134807,-68618,-5605,35827,8206,-12377,12538,4332,-15719,67826,27080,10403,56961,61872,78524,14926,9608,21139,-143973,-186132
Cambodia,Exports,195030,280992,594395,1504662,1087906,1698433,1042776,1485468,629986,339098,630559,1295867,1260386,732835,721899,363127,238718,422961,619307,337789,625369,1555131,1134340,872487,538116,336505,86356,70633,77148,86990,92601,80030,76917,240034,173729,217874
Cambodia,Imports,25899,16407,9089,12607,21829,27796,13225,16501,22457,45772,15084,21450,31564,28814,24301,37593,26978,19376,56097,48635,9052,10119,8790,11719,29143,47185,129737,392992,632266,683841,617967,661600,77181,162348,196936,17055
Cambodia,TradeBalance,169131,264585,585306,1492055,1066077,1670637,1029551,1468967,607529,293326,615475,1274417,1228822,704021,697598,325534,211740,403585,563210,289154,616317,1545012,1125550,860768,508973,289320,-43381,-322359,-555118,-596851,-525366,-581570,-264,77686,-23207,200819
Canada,Exports,113586,96999,110044,134488,131512,98556,117975,135649,135415,100621,134416,120336,121091,100868,162562,102241,64976,70533,64928,56833,73612,81613,53698,57019,138534,220004,76252,62009,75216,62895,93620,53696,99261,92034,347609,206609
Canada,Imports,211232,224872,213606,241035,599499,284927,215581,200837,204489,253586,197815,227718,208080,174473,160527,206693,190389,135866,156569,161662,154303,158223,148067,143758,142990,140967,153105,93748,149755,186771,178313,148801,248425,228461,200223,568765
Canada,TradeBalance,-97646,-127873,-103562,-106547,-467987,-186371,-97606,-65188,-69074,-152965,-63399,-107382,-86989,-73605,2035,-104452,-125413,-65333,-91641,-104829,-80691,-76610,-94369,-86739,-4456,79037,-76853,-31739,-74539,-123876,-84693,-95105,-149164,-136427,147386,-362156
Chile,Exports,8570,8683,7161,44538,12651,45894,13614,10700,15877,9391,7132,44153,11418,8008,9500,8571,7373,8260,9418,9304,8803,11969,10479,37295,9352,39681,8325,8011,9114,7410,45535,17493,41143,7821,7761,7662
Chile,Imports,16649,13831,11567,29599,75458,20111,11018,15492,9497,17065,36587,8949,14408,5380,7369,4344,3087,18933,8616,7156,37332,9915,6544,7883,6539,4778,5624,6447,4721,5680,6004,4981,4545,6774,7339,7693
Chile,TradeBalance,-8079,-5148,-4406,14939,-62807,25783,2596,-4792,6380,-7674,-29455,35204,-2990,2628,2131,4227,4286,-10673,802,2148,-28529,2054,3935,29412,2813,34903,2701,1564,4393,1730,39531,12512,36598,1047,422,-31
Cocos,Imports,2,0,2,0,7,1,0,0,1,14,0,3,8,1,3,2,7,7,3,0,37,26,3,15,0,0,1,0,2,17,34,39,4,1,0,113
Cocos,TradeBalance,-2,0,-2,0,-7,-1,0,0,-1,-14,0,-3,-8,-1,-3,-2,-7,-7,-3,0,-37,-26,-3,-15,0,0,-1,0,-2,-17,-34,-39,-4,-1,0,-113
Colombia,Exports,12036,13459,16109,20157,17219,12527,16538,21873,12163,14728,11796,12948,17770,10298,9976,8408,14789,9625,11034,8745,9633,12873,6364,8665,5912,8180,7973,6980,7655,6075,9394,6001,8058,11027,10956,7089
Colombia,Imports,7915,4436,2200,10518,9806,1927,84394,50735,16128,29549,5529,87646,6265,36366,2220,39770,2326,49029,45251,1941,5433,1735,4584,3456,114772,5337,2535,1522,667,8215,1468,8573,2934,4391,886,33246
Colombia,TradeBalance,4121,9023,13909,9639,7413,10600,-67856,-28862,-3965,-14821,6267,-74698,11505,-26068,7756,-31362,12463,-39404,-34217,6804,4200,11138,1780,5209,-108860,2843,5438,5458,6988,-2140,7926,-2572,5124,6636,10070,-26157
Commonwealth Of Independent States,Imports,559381,355213,211147,192289,170747,268726,262627,7728,250158,80641,602562,851550,1284255,528714,651746,183325,251962,459893,322355,299298,329976,662110,249138,255076,334499,266754,196344,267925,111769,121840,138743,95398,99266,112905,152797,354678
Commonwealth Of Independent States,TradeBalance,-559381,-355213,-211147,-192289,-170747,-268726,-262627,-7728,-250158,-80641,-602562,-851550,-1284255,-528714,-651746,-183325,-251962,-459893,-322355,-299298,-329976,-662110,-249138,-255076,-334499,-266754,-196344,-267925,-111769,-121840,-138743,-95398,-99266,-112905,-152797,-354678
Cook Islands,Imports,0,0,0,23,0,0,1,83,17,0,0,0,0,14,10,5,4,1,28,3,1,0,0,0,0,0,0,0,0,153,0,0,1,4,1,6
Cook Islands,TradeBalance,0,0,0,-23,0,0,-1,-83,-17,0,0,0,0,-14,-10,-5,-4,-1,-28,-3,-1,0,0,0,0,0,0,0,0,-153,0,0,-1,-4,-1,-6
Cyprus,Exports,48818,57791,62302,64638,70390,68329,98984,49038,77063,66532,50104,34039,55594,61713,55910,46083,54483,45808,49151,46188,51901,39983,44782,44062,38907,35983,38810,39090,41801,46588,34166,30208,36201,47855,70001,79656
Cyprus,Imports,21698,2385,2034,1662,2499,1199,1848,2307,1889,1189,28179,3387,1807,3001,4095,1474,2602,1800,1872,1546,1559,1273,1414,1342,1143,1292,1757,1611,1140,1225,2825,3772,1092,766,1217,1040
Cyprus,TradeBalance,27120,55406,60268,62976,67891,67130,97136,46731,75174,65343,21925,30652,53787,58712,51815,44609,51881,44008,47279,44642,50342,38710,43368,42720,37764,34691,37053,37479,40661,45363,31341,26436,35109,47089,68784,78616
Czech Republic,Exports,23443,25261,43738,40588,53328,36867,39967,56782,77050,64250,55495,50034,63831,99722,50109,61700,54760,80083,54494,57543,63477,82851,46052,63625,50889,37847,49558,39217,65237,77157,51982,72190,50587,33432,38779,54274
Czech Republic,Imports,69549,77729,78066,73954,76026,82010,84960,111863,72601,80205,60391,63267,78196,64292,94433,91353,64538,82631,79418,83723,75405,79133,53948,75602,71090,89800,64058,60861,46974,72329,69463,60816,71541,54120,61038,61739
Czech Republic,TradeBalance,-46106,-52468,-34328,-33366,-22698,-45143,-44993,-55081,4449,-15955,-4896,-13233,-14365,35430,-44324,-29653,-9778,-2548,-24924,-26180,-11928,3718,-7896,-11977,-20201,-51953,-14500,-21644,18263,4828,-17481,11374,-20954,-20688,-22259,-7465
Denmark,Exports,31084,29250,67327,44793,42761,48586,34269,37237,34748,34340,26675,32037,28435,24507,22478,30258,27120,179500,27831,15815,22270,24819,23271,24573,12355,14607,18695,14031,15904,13914,13574,9833,18305,15795,33476,18442
Denmark,Imports,67665,67436,63719,61842,126150,55752,50966,51216,55538,76044,40370,142017,52270,91555,54084,151317,61383,56814,146833,55964,44685,117667,73685,105473,143209,45010,43480,70494,44398,95598,41203,65305,62488,54577,124343,84860
Denmark,TradeBalance,-36581,-38186,3608,-17049,-83389,-7166,-16697,-13979,-20790,-41704,-13695,-109980,-23835,-67048,-31606,-121059,-34263,122686,-119002,-40149,-22415,-92848,-50414,-80900,-130854,-30403,-24785,-56463,-28494,-81684,-27629,-55472,-44183,-38782,-90867,-66418
Ecuador,Exports,7249,6212,6672,11642,10004,6480,8296,6320,8359,7893,4926,6781,35531,40022,7273,4676,4689,8489,4785,4955,4006,4695,6047,4126,2958,5051,23623,5932,5163,2188,4438,3799,5059,3880,4424,5009
Ecuador,Imports,4475,2745,4893,2522,1931,2226,5653,4066,3323,3042,4001,17491,6297,4453,3919,3749,2676,50099,1103,27077,2163,3410,2436,3056,3436,5098,4093,1945,4220,2131,2190,1565,1581,4232,2353,2066
Ecuador,TradeBalance,2774,3467,1779,9120,8073,4254,2643,2254,5036,4851,925,-10710,29234,35569,3354,927,2013,-41610,3682,-22122,1843,1285,3611,1070,-478,-47,19530,3987,943,57,2248,2234,3478,-352,2071,2943
Estonia,Exports,683,1005,1321,2292,2590,1676,3963,7103,7380,1681,1572,5099,2105,3129,2187,2398,4837,1192,1623,3077,2966,677,947,459,3668,2774,3532,2701,2568,429,415,1412,391,1977,824,586
Estonia,Imports,5378,6972,5489,7789,7588,8844,6260,7884,52312,5249,20506,6857,8009,74653,4677,45509,6282,6312,4159,3983,6049,7288,2736,2493,2410,3652,3287,3284,2064,1948,4345,1931,2888,4441,4914,4433
Estonia,TradeBalance,-4695,-5967,-4168,-5497,-4998,-7168,-2297,-781,-44932,-3568,-18934,-1758,-5904,-71524,-2490,-43111,-1445,-5120,-2536,-906,-3083,-6611,-1789,-2034,1258,-878,245,-583,504,-1519,-3930,-519,-2497,-2464,-4090,-3847
Fiji,Exports,71371,55584,70864,89525,49089,66873,89238,59035,74612,24209,21832,43159,58122,39716,40389,30128,31260,22251,20468,22773,24202,31451,18581,30987,26368,19664,28793,15985,25587,20346,6491,12803,9596,20460,48420,28670
Fiji,Imports,243,191,170,498,185,601,320,458,379,634,215,470,81,239,662,30,19,185,6,277,193,338,256,8,164,453,686,115,18,171,118,30,106,549,119,265
Fiji,TradeBalance,71128,55393,70694,89027,48904,66272,88918,58577,74233,23575,21617,42689,58041,39477,39727,30098,31241,22066,20462,22496,24009,31113,18325,30979,26204,19211,28107,15870,25569,20175,6373,12773,9490,19911,48301,28405
Finland,Exports,71732,19921,65311,45266,30590,50463,64664,25604,53139,52902,23829,61822,58290,36115,47635,15547,15854,16891,9637,8534,20107,8859,8735,11249,9682,7448,7096,5477,5426,5374,5215,6800,4317,19752,8878,8439
Finland,Imports,42399,49148,49749,48419,38114,91645,73548,87196,98354,58259,30725,59916,49936,36026,46534,40729,49240,37715,32498,34773,36804,42688,28963,27919,34795,35730,34951,36908,34716,44018,40693,31694,34650,45871,34683,29925
Finland,TradeBalance,29333,-29227,15562,-3153,-7524,-41182,-8884,-61592,-45215,-5357,-6896,1906,8354,89,1101,-25182,-33386,-20824,-22861,-26239,-16697,-33829,-20228,-16670,-25113,-28282,-27855,-31431,-29290,-38644,-35478,-24894,-30333,-26119,-25805,-21486
France,Exports,402218,324451,529962,358786,454328,459094,424547,466344,489309,457987,382847,446179,441787,417352,445179,391514,310002,411915,356333,346259,398291,433983,367562,816892,406905,373405,494312,1198893,748248,330195,327298,275463,329421,371118,379019,344766
France,Imports,1537347,1563127,1493161,1660563,1624646,1555500,1535920,1365379,1553618,1289677,1074703,1426667,1449230,1259199,1248425,1432720,1035905,1279419,1453443,1239006,1150424,1906800,987454,1021290,1141603,1498854,1922407,1167166,922015,1088034,895505,690063,912836,1233320,1123010,1491370
France,TradeBalance,-1135129,-1238676,-963199,-1301777,-1170318,-1096406,-1111373,-899035,-1064309,-831690,-691856,-980488,-1007443,-841847,-803246,-1041206,-725903,-867504,-1097110,-892747,-752133,-1472817,-619892,-204398,-734698,-1125449,-1428095,31727,-173767,-757839,-568207,-414600,-583415,-862202,-743991,-1146604
French Guiana,Imports,123,517,12899,296,431,359,195,122,36,2,930,14,0,183,73,0,0,27,6,496,44,83,9,65,734,0,36,3278,456,1008,38,9,10,0,0,7
French Guiana,TradeBalance,-123,-517,-12899,-296,-431,-359,-195,-122,-36,-2,-930,-14,0,-183,-73,0,0,-27,-6,-496,-44,-83,-9,-65,-734,0,-36,-3278,-456,-1008,-38,-9,-10,0,0,-7
French Polynesia,Exports,2428,17142,34617,2743,4153,22831,2477,3038,3156,4862,15961,17243,9713,2292,21796,7209,2629,20655,1505,1261,1299,2241,1535,34762,4307,8819,2070,2075,1830,2233,1332,3216,685,7951,7214,1469
French Polynesia,Imports,210,35,60,37,38,493,2730,2894,141,50,40,58,2464,13,154,265,9,59,19,162,1992,263,74,117,103,432,91,9,2580,230,7,16,6,176,42,64
French Polynesia,TradeBalance,2218,17107,34557,2706,4115,22338,-253,144,3015,4812,15921,17185,7249,2279,21642,6944,2620,20596,1486,1099,-693,1978,1461,34645,4204,8387,1979,2066,-750,2003,1325,3200,679,7775,7172,1405
French Southern Territories,Imports,46,99,115,242,8,4,1,83,7,9,32,258,3,22,7,0,0,2,40,0,118,10,105,4,2,5,377,122,354,323,37,0,20,0,0,0
French Southern Territories,TradeBalance,-46,-99,-115,-242,-8,-4,-1,-83,-7,-9,-32,-258,-3,-22,-7,0,0,-2,-40,0,-118,-10,-105,-4,-2,-5,-377,-122,-354,-323,-37,0,-20,0,0,0
"Germany, Democratic Republic Of",Exports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, Democratic Republic Of",Imports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, Democratic Republic Of",TradeBalance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, Federal Republic Of",Exports,809343,927112,1035273,912066,1291942,1279156,921251,780294,809678,894561,722681,784687,917779,777783,915452,800215,798061,754099,916201,709010,771493,874965,651058,652128,674442,629029,635751,652239,616109,636085,616840,578206,617032,610897,731916,664818
"Germany, Federal Republic Of",Imports,1129542,1107630,1122251,1170472,1135242,1207446,1108916,1095451,1282312,1259702,1074201,1038822,1329642,1094892,1103039,1290457,1147489,1185938,1142950,1432486,1102010,1124788,916711,947476,980296,978208,980882,972416,931876,1061128,978806,892172,1160767,1115034,1003380,1127285
"Germany, Federal Republic Of",TradeBalance,-320199,-180518,-86978,-258406,156700,71710,-187665,-315157,-472634,-365141,-351520,-254135,-411863,-317109,-187587,-490242,-349428,-431839,-226749,-723476,-330517,-249823,-265653,-295348,-305854,-349179,-345131,-320177,-315767,-425043,-361966,-313966,-543735,-504137,-271464,-462467
Greece,Exports,131220,126740,121392,150911,191678,166037,164807,133089,123358,100539,137793,98550,110887,162931,91021,104392,92453,93224,89729,82596,127066,93626,121376,81434,106578,86709,77179,80952,79911,83073,83698,94435,90018,122867,164151,111978
Greece,Imports,99085,37937,15850,107888,170197,207744,108596,47795,117955,10073,40633,17780,38816,9041,12105,10967,11000,10522,53544,38630,14707,65136,85500,46808,10429,10423,11378,11241,11809,11655,11839,11181,15506,12418,12065,10275
Greece,TradeBalance,32135,88803,105542,43023,21481,-41707,56211,85294,5403,90466,97160,80770,72071,153890,78916,93425,81453,82702,36185,43966,112359,28490,35876,34626,96149,76286,65801,69711,68102,71418,71859,83254,74512,110449,152086,101703
Grenada,Imports,6,19,1,3,8,0,13,1,2,41,18,2,2,15,2,7,8,1,1,14,0,0,4,41,0,0,1,0,0,0,14,0,17,4,0,5
Grenada,TradeBalance,-6,-19,-1,-3,-8,0,-13,-1,-2,-41,-18,-2,-2,-15,-2,-7,-8,-1,-1,-14,0,0,-4,-41,0,0,-1,0,0,0,-14,0,-17,-4,0,-5
Guam,Exports,41150,49396,76617,50413,73882,31277,110238,54722,33498,5537,64137,23026,60182,88152,14322,75316,45025,33271,74196,57813,55582,41069,27992,2224,36388,38985,24413,4421,28334,21760,11922,7673,21476,35762,8669,71057
Guam,Imports,35,104,65,176,86,12160,45,9,44,104,52,69,7,35,40,5,14,27,42,65,20,32,23,29,65,28,20,16,19,17,9,28,5,23,23,33
Guam,TradeBalance,41115,49292,76552,50237,73796,19117,110193,54713,33454,5433,64085,22957,60175,88117,14282,75311,45011,33244,74154,57748,55562,41037,27969,2195,36323,38957,24393,4405,28315,21743,11913,7645,21471,35739,8646,71024
Guatemala,Imports,570,997,262,926,2170,3463,1168,2804,1381,1931,1895,1603,691,1026,1756,896,1068,2075,2754,5253,3219,7569,5319,3474,2526,1812,1603,1393,1694,3802,1020,1487,447,8961,8087,1663
Guatemala,TradeBalance,-570,-997,-262,-926,-2170,-3463,-1168,-2804,-1381,-1931,-1895,-1603,-691,-1026,-1756,-896,-1068,-2075,-2754,-5253,-3219,-7569,-5319,-3474,-2526,-1812,-1603,-1393,-1694,-3802,-1020,-1487,-447,-8961,-8087,-1663
Honduras,Imports,1457,838,706,432,793,780,228,238,443,320,253,274,730,366,566,763,367,561,668,296,214,359,172,180,187,149,153,537,358,69,194,277,252,260,179,249
Honduras,TradeBalance,-1457,-838,-706,-432,-793,-780,-228,-238,-443,-320,-253,-274,-730,-366,-566,-763,-367,-561,-668,-296,-214,-359,-172,-180,-187,-149,-153,-537,-358,-69,-194,-277,-252,-260,-179,-249
Hong Kong,Exports,7403998,5302426,5137172,7405741,6466344,6138562,7717915,7486002,6769192,6807217,6514766,6509744,7653966,7276474,6395502,7014963,7169776,6494656,6598202,7161940,6289297,7470910,5518278,5693673,5941191,5671808,5784153,5594771,5104848,5031862,4886363,4674102,5387093,5823657,5116584,4726790
Hong Kong,Imports,240017,169227,207166,354257,319470,624415,333510,431788,360880,383912,210038,514054,419713,306125,370135,362116,378221,317966,439690,360761,300514,314144,350808,441015,762767,450648,551319,479125,460348,528709,536137,170672,302865,364163,226736,391417
Hong Kong,TradeBalance,7163981,5133199,4930006,7051484,6146874,5514147,7384405,7054214,6408312,6423305,6304728,5995690,7234253,6970349,6025367,6652847,6791555,6176690,6158512,6801179,5988783,7156766,5167470,5252658,5178424,5221160,5232834,5115646,4644500,4503153,4350226,4503430,5084228,5459494,4889848,4335373
Hungary,Exports,47775,63588,39889,60851,80433,58378,74596,56842,98504,65669,70320,54758,67045,81237,65987,62829,62454,45653,55914,46243,75450,51260,35339,50085,32130,42384,42263,54904,46879,26706,39403,44859,42366,35870,43449,48888
Hungary,Imports,44406,46849,42761,38367,39917,48975,44843,36746,37592,38279,27612,37471,36759,33511,42209,37453,45149,46002,50593,52466,42392,42244,26286,34167,52883,43674,42690,36664,29737,34092,29820,21876,30516,35228,25341,24246
Hungary,TradeBalance,3369,16739,-2872,22484,40516,9403,29753,20096,60912,27390,42708,17287,30286,47726,23778,25376,17305,-349,5321,-6223,33058,9016,9053,15918,-20753,-1290,-427,18240,17142,-7386,9583,22983,11850,642,18108,24642
India,Exports,1703023,1467219,1395949,1817817,1593916,1637019,1595699,1441178,1671860,1733946,1470299,1633973,1617485,1616145,1541294,1610231,1376658,1274749,1116307,1054895,1497639,1658554,1296692,1285348,1482607,1230868,1153001,1242513,1094267,845562,800876,573786,463499,1056660,1363734,1343660
India,Imports,834657,837673,826855,1023746,908131,1022364,1251445,885584,1159602,1023825,1038814,851347,1065580,981053,830719,598029,825451,900935,945470,716823,880794,859448,786256,493874,636451,589695,603036,521757,524324,737581,695070,436296,276158,703494,601098,818894
India,TradeBalance,868366,629546,569094,794071,685785,614655,344254,555594,512258,710121,431485,782626,551905,635092,710575,1012202,551207,373814,170837,338072,616845,799106,510436,791474,846156,641173,549965,720756,569943,107981,105806,137490,187341,353166,762636,524766
Indonesia,Exports,3740306,4082822,4075989,4373980,4684693,5333607,4555767,4809421,4344070,4196284,3439005,3691849,3979774,3928370,3160397,2962949,3084471,2919438,3581383,2808492,3191052,3542640,2977358,2524216,2756166,2405160,2264388,2471805,2320501,2438838,2196981,1703250,2192562,3014122,2707467,3097834
Indonesia,Imports,2074781,1971918,1987191,1924895,2301232,2032018,2244033,2242187,2401307,2245632,1752288,1854041,1952388,1988497,1763060,1706208,1719227,1601948,1797188,1444970,1809239,1750120,1456104,1433768,1455271,1369285,1456209,1526861,1530155,1602915,1337827,1226045,1735603,2093275,2180859,1736989
Indonesia,TradeBalance,1665525,2110904,2088798,2449085,2383461,3301589,2311734,2567234,1942763,1950652,1686717,1837808,2027386,1939873,1397337,1256741,1365244,1317490,1784195,1363522,1381813,1792520,1521254,1090448,1300895,1035875,808179,944944,790346,835923,859154,477205,456959,920847,526608,1360845
